title,price,rating,reviews,availability
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.5 out of 5 stars,116 ratings,In Stock
$250 PlayStation Store Gift Card [Digital Code],,4.6 out of 5 stars,"253,470 ratings",Available now
PlayStation 4 Slim 1TB Limited Edition Console - Days of Play Bundle (Renewed),,5.0 out of 5 stars,2 ratings,Not Available
"PS4 Controller Charger Dock Station, OIVO 1.8Hrs PS4 Controller Charging Dock, Charging Station Replacement for PlayStation 4 Dualshock 4 Charger",,4.7 out of 5 stars,"39,470 ratings",Not Available
"Wuthur PS4 Controller Wireless 2 Pack, Compatible with PlayStation 4 - Black & White",,4.3 out of 5 stars,181 ratings,Not Available
"FASIGO PS4 Controller 2 Pack, Wireless PS4 Controller for PS4 / Pro/Slim & PC, with 2 USB C Cable - Black",,4.2 out of 5 stars,447 ratings,Not Available
PlayStation 4 Slim 1TB Limited Edition Console - Call of Duty WWII Bundle [Discontinued] (Renewed),,5.0 out of 5 stars,2 ratings,Not Available
Sony DualShock 4 Wireless Controller - Midnight Blue - PlayStation 4,,4.5 out of 5 stars,"3,485 ratings",In Stock
"Wireless Controller Dual Vibration Game Joystick Controller for Ps4 Controller/Slim/Pro,Compatible with PS4 Console",,4.0 out of 5 stars,"2,601 ratings",Not Available
EA SPORTS FC 25 - PlayStation 4,,4.7 out of 5 stars,9 ratings,In Stock
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,"1,553 ratings",Not Available
"BUFFALO External SSD 4.0TB Officially Licensed Product, Compatible with PS 5 / PS 4 Consoles - USB3.2 Gen2 Type A and C - Portable Anti Shock IP55 Dust and Water Resistant SSD-PHO4.0U3B",,4.2 out of 5 stars,11 ratings,In Stock
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,738 ratings",Not Available
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.4 out of 5 stars,369 ratings,Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,6 ratings,Not Available
PlayStation 4 Pro 1TB Console,,4.7 out of 5 stars,"12,776 ratings",Not Available
Newest Sony Playstation 4 Slim 1TB SSD Console - Marvel's Spider-Man PS4 Bundle with DualShock-4 Wireless Controller,,4.3 out of 5 stars,339 ratings,Not Available
"PDP Phantom Air Dual-Mode Wireless Headset: White - PlayStation 5, PlayStation 4, & Windows 10/11 PC",,Previous page of related Sponsored Products,,"This item will be released on November 7, 2024."
"AceGamer 2 Pack for PS4 Controller, Wireless Controllers for PS4/Pro/Slim/PC, with Non-Slip Grip of Both Sides and 2 USB-C Cable! (Midnight Black * 2)",,4.2 out of 5 stars,"1,675 ratings",In Stock
"PHNIXGAM Pink Wireless Controller Compatible with Ps4/Ps4 Pro/Ps4 Slim/PC/iOS 13.4 Above/Android 10, Gaming Controller with Touchpad, Motion Sensor, Speaker, Headphone Jack, LED and Back Button",,4.1 out of 5 stars,96 ratings,Only 6 left in stock - order soon.
